cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1532142632231,0,0,load,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142634931,1,245,mousemove,//*[@id='rhscol'],{},"{""topRight"":1251,""topLeft"":801,""bottomRight"":1330,""bottomLeft"":920,""middle"":1030,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142636758,2,246,mousemove,//*[@id='rhscol'],{},"{""topRight"":1250,""topLeft"":800,""bottomRight"":1329,""bottomLeft"":919,""middle"":1028,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142636908,0,24,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142637074,0,91,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142637340,0,117,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142637491,0,173,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142637657,0,224,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142640415,0,234,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142640566,0,318,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142640732,0,435,scroll,/,{},{},20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142642278,5,704,mousemove,//*[@id='rhscol'],{},"{""topRight"":1376,""topLeft"":987,""bottomRight"":1239,""bottomLeft"":785,""middle"":1053,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142643623,7,704,mousemove,//*[@id='rhscol'],{},"{""topRight"":1374,""topLeft"":985,""bottomRight"":1237,""bottomLeft"":783,""middle"":1051,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
0,1532142643774,16,684,mousemove,//*[@id='rhscol'],{},"{""topRight"":1357,""topLeft"":966,""bottomRight"":1228,""bottomLeft"":775,""middle"":1037,""inTarget"":false}",20180721050758,"Sat, 21 Jul 2018 05:07:58 +0200",Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:61.0) Gecko/20100101 Firefox/61.0,1600x900,1600x766,1583x1679,59i7d1vobi15il65pv8nirk3g3-dd-top_right,59i7d1vobi15il65pv8nirk3g3,0,1
