cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538406812845,0,0,load,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406816093,476,299,mouseover,//*[@id='nmtbi2']/div[2]/div,{},"{""topRight"":792,""topLeft"":369,""bottomRight"":793,""bottomLeft"":371,""middle"":541,""inTarget"":false}",20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406818941,475,300,mousemove,//*[@id='nmtbi2']/div[2]/div,{},"{""topRight"":793,""topLeft"":370,""bottomRight"":794,""bottomLeft"":371,""middle"":542,""inTarget"":false}",20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406820323,475,302,mousemove,//*[@id='nmtbi2']/div[2]/div,{},"{""topRight"":794,""topLeft"":371,""bottomRight"":793,""bottomLeft"":370,""middle"":542,""inTarget"":false}",20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406820589,0,0,scroll,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406820754,0,0,scroll,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406820906,0,0,scroll,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406821505,0,0,scroll,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406821656,0,0,scroll,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406821822,475,304,mousemove,//*[@id='nmtbi2']/div[2]/div,{},"{""topRight"":794,""topLeft"":372,""bottomRight"":793,""bottomLeft"":369,""middle"":542,""inTarget"":false}",20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406821978,502,159,mouseover,//*[@id='rso']/div[1]/div/div/div/span,{},"{""topRight"":744,""topLeft"":293,""bottomRight"":815,""bottomLeft"":443,""middle"":534,""inTarget"":false}",20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406825091,0,0,blur,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406909329,0,0,beforeunload,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
0,1538406909330,0,0,unload,/,{},{},20181001171041,"Mon, 01 Oct 2018 17:10:41 +0200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1920x1080,1336x770,1319x1843,9nvhvfh03hstti41egfsek1rb3-dd-top_right,9nvhvfh03hstti41egfsek1rb3,0,5
