cursor,timestamp,xpos,ypos,event,xpath,attrs,extras,xpos_scaled,ypos_scaled,timestamp_diff,speed,acceleration,log_id,date,ua,screen,window,document,task,user_id,ad_clicked,attention
0,1538395334227,0,0,load,/,{},{},0.0,0.0,1.0,0.0,0.0,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395334558,615,204,mousemove,//*[@id='rso']/div[1]/div[1]/div/div/div/div[2],{},"{""topRight"":463,""topLeft"":201,""bottomRight"":661,""bottomLeft"":512,""middle"":368,""inTarget"":false}",0.5621572212065814,0.3763837638376384,331.0,1.9575570606206,1.9575570606206,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395334720,627,204,mousemove,//*[@id='rso']/div[1]/div[1]/div/div/div/div[2],{},"{""topRight"":452,""topLeft"":190,""bottomRight"":653,""bottomLeft"":508,""middle"":358,""inTarget"":false}",0.573126142595978,0.3763837638376384,162.0,0.07407407407407407,-1.8834829865465261,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395335659,625,205,mouseover,//*[@id='rso']/div[1],{},"{""topRight"":454,""topLeft"":192,""bottomRight"":653,""bottomLeft"":508,""middle"":359,""inTarget"":false}",0.5712979890310786,0.37822878228782286,939.0,0.002381329049520543,-0.07169274502455353,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395335821,320,208,mousemove,//*[@id='rso']/div[1],{},"{""topRight"":755,""topLeft"":481,""bottomRight"":887,""bottomLeft"":670,""middle"":637,""inTarget"":false}",0.29250457038391225,0.3837638376383764,162.0,1.882807121861234,1.8804257928117134,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395335973,144,208,mousemove,//*[@id='rso']/div[1],{},"{""topRight"":930,""topLeft"":654,""bottomRight"":1040,""bottomLeft"":803,""middle"":807,""inTarget"":false}",0.1316270566727605,0.3837638376383764,152.0,1.1578947368421053,-0.7249123850191286,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395336139,114,208,mousemove,//*[@id='rhscol'],{},"{""topRight"":959,""topLeft"":684,""bottomRight"":1067,""bottomLeft"":827,""middle"":836,""inTarget"":false}",0.10420475319926874,0.3837638376383764,166.0,0.18072289156626506,-0.9771718452758402,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395336306,58,209,mousemove,//*[@id='rhscol'],{},"{""topRight"":1015,""topLeft"":739,""bottomRight"":1117,""bottomLeft"":873,""middle"":891,""inTarget"":false}",0.05301645338208409,0.3856088560885609,167.0,0.3353828015554598,0.15465990998919474,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395336535,0,0,scroll,/,{},{},0.0,0.0,229.0,0.9471554315173781,0.6117726299619184,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
0,1538395336685,0,0,scroll,/,{},{},0.0,0.0,150.0,0.0,-0.9471554315173781,20181001135910,"Mon, 01 Oct 2018 13:59:10 +0200","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",1093x615,1094x542,1077x1882,jduvn2k6smajnqcku2058rla86-dd-top_right,jduvn2k6smajnqcku2058rla86,0,4
